# integrator: Langevin BAOAB
# timestep_fs: 1.0
# seed: 0
# n_atoms: 22
# dof: 63
# temperature_dof_convention: 3N - 3 (centre of mass pinned)
# calculator: MACE(model='MACE-OFF23_small', cueq=False, energy_reference='atoms', dtype='float32')
# dtype: float32
# energy_offset_eV: -13406.88400353325
# pbc: [False, False, False]
# neighborlist_capacity: 384
# device: gpu
# ensemble: NVT
# temperature_K: 300.0
# friction_per_fs: 0.01
# fix_com: True
# step	time_fs	T_K	E_pot_eV	E_kin_eV	E_tot_eV	dE_tot_eV
73500	73500.000	410.793	-94.70982657	1.11508131	-93.59474526	8.967e-01
74000	74000.000	292.010	-94.41396343	0.79264903	-93.62131440	8.701e-01
74500	74500.000	316.651	-94.71993862	0.85953653	-93.86040209	6.311e-01
75000	75000.000	347.626	-94.46437438	0.94361663	-93.52075775	9.707e-01
75500	75500.000	295.820	-94.14782924	0.80299163	-93.34483761	1.147e+00
76000	76000.000	391.043	-94.52755662	1.06147146	-93.46608516	1.025e+00
76500	76500.000	331.317	-94.74496650	0.89934510	-93.84562140	6.458e-01
77000	77000.000	346.148	-94.49769438	0.93960357	-93.55809081	9.334e-01
77500	77500.000	276.553	-94.47005368	0.75069225	-93.71936143	7.721e-01
78000	78000.000	217.460	-94.55286935	0.59028637	-93.96258297	5.289e-01
78500	78500.000	262.705	-94.11192520	0.71310329	-93.39882191	1.093e+00
79000	79000.000	349.329	-94.68382592	0.94823807	-93.73558784	7.559e-01
79500	79500.000	329.580	-94.59337402	0.89463162	-93.69874239	7.927e-01
80000	80000.000	297.001	-94.35258747	0.80619645	-93.54639102	9.451e-01
80500	80500.000	303.133	-94.55927171	0.82284188	-93.73642983	7.550e-01
81000	81000.000	274.171	-94.49672142	0.74422473	-93.75249669	7.390e-01
81500	81500.000	275.562	-94.58269107	0.74800104	-93.83469003	6.568e-01
82000	82000.000	357.607	-94.39836363	0.97071064	-93.42765299	1.064e+00
82500	82500.000	302.171	-94.47271938	0.82023048	-93.65248890	8.390e-01
83000	83000.000	303.471	-94.40990193	0.82375997	-93.58614195	9.053e-01
83500	83500.000	240.284	-94.63868782	0.65224206	-93.98644575	5.050e-01
84000	84000.000	299.365	-94.38375913	0.81261337	-93.57114576	9.203e-01
84500	84500.000	272.769	-94.65121671	0.74042046	-93.91079625	5.807e-01
85000	85000.000	214.863	-94.76049906	0.58323610	-94.17726296	3.142e-01
85500	85500.000	289.085	-94.43169650	0.78471059	-93.64698592	8.445e-01
86000	86000.000	213.908	-94.37731453	0.58064502	-93.79666950	6.948e-01
86500	86500.000	333.955	-94.80361358	0.90650779	-93.89710579	5.943e-01
87000	87000.000	360.079	-94.59408190	0.97741908	-93.61666282	8.748e-01
87500	87500.000	259.588	-94.55707635	0.70464092	-93.85243543	6.390e-01
88000	88000.000	290.042	-94.49447489	0.78730667	-93.70716823	7.843e-01
88500	88500.000	279.136	-94.60816881	0.75770432	-93.85046449	6.410e-01
89000	89000.000	285.993	-94.46012129	0.77631593	-93.68380536	8.076e-01
89500	89500.000	344.665	-94.24029021	0.93557954	-93.30471067	1.187e+00
90000	90000.000	350.707	-94.58747121	0.95197868	-93.63549253	8.560e-01
90500	90500.000	298.661	-94.38266999	0.81070369	-93.57196629	9.195e-01
91000	91000.000	326.111	-94.67073489	0.88521600	-93.78551889	7.059e-01
91500	91500.000	418.013	-94.41490048	1.13467789	-93.28022259	1.211e+00
92000	92000.000	254.267	-94.59272906	0.69019854	-93.90253052	5.889e-01
92500	92500.000	262.210	-94.58624998	0.71175808	-93.87449191	6.170e-01
93000	93000.000	288.689	-94.47097261	0.78363323	-93.68733938	8.041e-01
93500	93500.000	252.939	-94.61677624	0.68659258	-93.93018366	5.613e-01
94000	94000.000	446.746	-94.18990523	1.21267259	-92.97723264	1.514e+00
94500	94500.000	356.850	-94.48967926	0.96865487	-93.52102439	9.704e-01
95000	95000.000	156.464	-94.59854251	0.42471480	-94.17382771	3.176e-01
95500	95500.000	288.851	-94.57876051	0.78407353	-93.79468698	6.968e-01
96000	96000.000	236.782	-94.20152350	0.64273512	-93.55878837	9.327e-01
96500	96500.000	244.924	-94.36969609	0.66483665	-93.70485944	7.866e-01
97000	97000.000	348.001	-94.09343807	0.94463575	-93.14880232	1.343e+00
97500	97500.000	332.204	-94.41313149	0.90175402	-93.51137747	9.801e-01
98000	98000.000	241.915	-94.66046094	0.65666932	-94.00379162	4.877e-01
98500	98500.000	277.134	-94.48483563	0.75226879	-93.73256684	7.589e-01
99000	99000.000	300.670	-94.56783398	0.81615716	-93.75167681	7.398e-01
99500	99500.000	230.667	-94.09808278	0.62613690	-93.47194588	1.020e+00
100000	100000.000	282.234	-94.35539309	0.76611257	-93.58928053	9.022e-01
100500	100500.000	202.312	-94.58228909	0.54916835	-94.03312074	4.583e-01
101000	101000.000	341.979	-94.58597620	0.92828876	-93.65768744	8.338e-01
101500	101500.000	344.067	-94.58860913	0.93395573	-93.65465340	8.368e-01
102000	102000.000	278.161	-94.51569725	0.75505763	-93.76063961	7.308e-01
102500	102500.000	317.438	-94.32978879	0.86167186	-93.46811693	1.023e+00
103000	103000.000	240.966	-94.44900598	0.65409243	-93.79491355	6.965e-01
103500	103500.000	285.489	-94.65532919	0.77494848	-93.88038071	6.111e-01
104000	104000.000	251.360	-94.30365664	0.68230712	-93.62134952	8.701e-01
104500	104500.000	372.177	-94.40501603	1.01025939	-93.39475664	1.097e+00
105000	105000.000	309.381	-94.42221418	0.83980191	-93.58241227	9.090e-01
105500	105500.000	361.599	-94.33500839	0.98154438	-93.35346402	1.138e+00
106000	106000.000	352.157	-94.16559183	0.95591497	-93.20967686	1.282e+00
106500	106500.000	275.283	-94.17706748	0.74724513	-93.42982234	1.062e+00
107000	107000.000	309.576	-94.58034923	0.84033179	-93.74001744	7.514e-01
107500	107500.000	231.069	-94.10126420	0.62722862	-93.47403558	1.017e+00
108000	108000.000	225.668	-94.16279572	0.61256540	-93.55023032	9.412e-01
108500	108500.000	301.062	-94.64960354	0.81722021	-93.83238333	6.591e-01
109000	109000.000	338.979	-94.25524192	0.92014402	-93.33509790	1.156e+00
109500	109500.000	358.358	-94.59147739	0.97274804	-93.61872935	8.727e-01
110000	110000.000	416.146	-94.68494875	1.12961090	-93.55533785	9.361e-01
110500	110500.000	249.234	-94.43229596	0.67653638	-93.75575958	7.357e-01
111000	111000.000	295.106	-94.66966599	0.80105233	-93.86861365	6.228e-01
111500	111500.000	230.544	-94.36112503	0.62580281	-93.73532221	7.561e-01
112000	112000.000	191.069	-94.57167649	0.51865029	-94.05302619	4.384e-01
112500	112500.000	211.871	-94.58504629	0.57511640	-94.00992990	4.815e-01
113000	113000.000	361.212	-94.42673695	0.98049527	-93.44624168	1.045e+00
113500	113500.000	328.579	-94.45996637	0.89191377	-93.56805260	9.234e-01
114000	114000.000	295.444	-94.32226100	0.80197191	-93.52028909	9.712e-01
114500	114500.000	351.466	-94.35866756	0.95404029	-93.40462727	1.087e+00
115000	115000.000	225.212	-94.68113747	0.61132771	-94.06980976	4.216e-01
115500	115500.000	353.939	-94.47796371	0.96075237	-93.51721134	9.742e-01
116000	116000.000	281.600	-94.51692641	0.76439118	-93.75253522	7.389e-01
116500	116500.000	293.571	-94.81825187	0.79688585	-94.02136602	4.701e-01
117000	117000.000	340.431	-94.61981085	0.92408532	-93.69572553	7.957e-01
117500	117500.000	361.416	-94.71244689	0.98104799	-93.73139890	7.601e-01
118000	118000.000	349.008	-94.67578683	0.94736707	-93.72841976	7.630e-01
118500	118500.000	286.232	-94.53229466	0.77696621	-93.75532845	7.361e-01
119000	119000.000	202.953	-94.40457638	0.55090833	-93.85366805	6.378e-01
119500	119500.000	239.457	-94.38372071	0.64999592	-93.73372479	7.577e-01
120000	120000.000	308.341	-94.57803543	0.83697903	-93.74105640	7.504e-01
120500	120500.000	384.262	-94.47804647	1.04306424	-93.43498223	1.056e+00
121000	121000.000	257.051	-94.39744883	0.69775426	-93.69969457	7.918e-01
121500	121500.000	286.222	-94.62528368	0.77693737	-93.84834632	6.431e-01
122000	122000.000	303.642	-94.47282436	0.82422453	-93.64859982	8.429e-01
122500	122500.000	340.365	-94.52822355	0.92390776	-93.60431579	8.871e-01
123000	123000.000	268.849	-94.45524952	0.72977853	-93.72547099	7.660e-01
123500	123500.000	242.498	-94.24877427	0.65825021	-93.59052406	9.009e-01
124000	124000.000	316.356	-94.28440022	0.85873657	-93.42566365	1.066e+00
124500	124500.000	328.075	-94.90949674	0.89054549	-94.01895126	4.725e-01
125000	125000.000	366.020	-94.69380841	0.99354571	-93.70026270	7.912e-01
125500	125500.000	401.162	-94.60143541	1.08893847	-93.51249693	9.790e-01
126000	126000.000	426.472	-94.57304327	1.15764177	-93.41540151	1.076e+00
126500	126500.000	308.419	-94.51095218	0.83719122	-93.67376096	8.177e-01
127000	127000.000	350.297	-94.67843700	0.95086557	-93.72757143	7.639e-01
127500	127500.000	421.075	-94.53210214	1.14299178	-93.38911036	1.102e+00
128000	128000.000	349.766	-94.60300918	0.94942570	-93.65358349	8.379e-01
128500	128500.000	240.970	-94.45682664	0.65410388	-93.80272276	6.887e-01
129000	129000.000	256.556	-94.38659563	0.69640982	-93.69018581	8.013e-01
129500	129500.000	280.394	-94.69632402	0.76111704	-93.93520698	5.562e-01
130000	130000.000	254.800	-94.25004891	0.69164300	-93.55840591	9.330e-01
130500	130500.000	356.679	-94.48100844	0.96818978	-93.51281866	9.786e-01
131000	131000.000	291.009	-94.29676677	0.78993326	-93.50683351	9.846e-01
131500	131500.000	355.781	-94.48867947	0.96575189	-93.52292758	9.685e-01
132000	132000.000	245.649	-94.74580794	0.66680294	-94.07900500	4.124e-01
132500	132500.000	309.735	-94.39041414	0.84076166	-93.54965248	9.418e-01
133000	133000.000	392.169	-94.13552017	1.06452656	-93.07099361	1.420e+00
133500	133500.000	305.677	-94.53750318	0.82974863	-93.70775455	7.837e-01
134000	134000.000	293.217	-94.64591935	0.79592466	-93.84999469	6.415e-01
134500	134500.000	258.277	-94.44062347	0.70108104	-93.73954244	7.519e-01
135000	135000.000	212.878	-94.38073988	0.57784986	-93.80289002	6.886e-01
135500	135500.000	376.522	-94.23957860	1.02205467	-93.21752392	1.274e+00
136000	136000.000	318.156	-94.24516341	0.86362112	-93.38154230	1.110e+00
136500	136500.000	356.038	-94.26770576	0.96645093	-93.30125483	1.190e+00
137000	137000.000	341.132	-94.27967316	0.92598897	-93.35368419	1.138e+00
137500	137500.000	357.811	-94.58865953	0.97126400	-93.61739552	8.741e-01
138000	138000.000	304.026	-94.50464682	0.82526702	-93.67937980	8.121e-01
138500	138500.000	361.688	-94.48605084	0.98178685	-93.50426399	9.872e-01
139000	139000.000	309.422	-94.51282197	0.83991385	-93.67290812	8.185e-01
139500	139500.000	303.604	-94.57181672	0.82412016	-93.74769656	7.438e-01
140000	140000.000	216.231	-94.33127657	0.58694959	-93.74432698	7.471e-01
140500	140500.000	309.236	-94.37956696	0.83940774	-93.54015921	9.513e-01
141000	141000.000	338.053	-94.56099834	0.91763020	-93.64336814	8.481e-01
141500	141500.000	259.428	-94.60223202	0.70420623	-93.89802579	5.934e-01
142000	142000.000	282.109	-94.61631522	0.76577389	-93.85054133	6.409e-01
142500	142500.000	350.056	-94.65608541	0.95021141	-93.70587400	7.856e-01
143000	143000.000	327.885	-94.77947301	0.89003158	-93.88944144	6.020e-01
143500	143500.000	406.548	-94.23172666	1.10355926	-93.12816740	1.363e+00
144000	144000.000	307.643	-94.56921166	0.83508533	-93.73412633	7.573e-01
144500	144500.000	283.477	-94.55445296	0.76948589	-93.78496707	7.065e-01
145000	145000.000	426.165	-94.57256312	1.15680754	-93.41575558	1.076e+00
145500	145500.000	304.912	-94.68635820	0.82766980	-93.85868840	6.328e-01
146000	146000.000	363.588	-94.48280851	0.98694426	-93.49586425	9.956e-01
146500	146500.000	235.812	-94.67656298	0.64010119	-94.03646179	4.550e-01
147000	147000.000	232.615	-94.50981786	0.63142264	-93.87839522	6.131e-01
147500	147500.000	363.903	-94.53038918	0.98779899	-93.54259019	9.489e-01
148000	148000.000	226.467	-94.66432006	0.61473614	-94.04958392	4.419e-01
148500	148500.000	332.067	-94.76254354	0.90138352	-93.86116002	6.303e-01
149000	149000.000	421.445	-94.61706971	1.14399612	-93.47307359	1.018e+00
149500	149500.000	370.455	-94.53665084	1.00558519	-93.53106565	9.604e-01
150000	150000.000	247.649	-94.50631922	0.67223221	-93.83408701	6.574e-01
150500	150500.000	185.641	-94.64976595	0.50391591	-94.14585005	3.456e-01
151000	151000.000	249.154	-94.70542145	0.67631739	-94.02910406	4.623e-01
151500	151500.000	230.437	-94.19087570	0.62551314	-93.56536257	9.261e-01
152000	152000.000	329.571	-94.42511306	0.89460611	-93.53050695	9.609e-01
152500	152500.000	368.438	-94.44310960	1.00011027	-93.44299933	1.048e+00
153000	153000.000	365.278	-94.37522824	0.99153119	-93.38369704	1.108e+00
153500	153500.000	256.781	-94.52267528	0.69702280	-93.82565248	6.658e-01
154000	154000.000	322.733	-94.52318620	0.87604451	-93.64714169	8.443e-01
154500	154500.000	253.548	-94.52910634	0.68824673	-93.84085961	6.506e-01
155000	155000.000	284.128	-94.49809646	0.77125275	-93.72684371	7.646e-01
155500	155500.000	346.884	-94.41107135	0.94160295	-93.46946841	1.022e+00
156000	156000.000	248.282	-94.63391617	0.67395079	-93.95996538	5.315e-01
156500	156500.000	240.456	-94.63560486	0.65270913	-93.98289573	5.086e-01
157000	157000.000	285.796	-94.34499128	0.77578104	-93.56921025	9.222e-01
157500	157500.000	332.545	-94.20523442	0.90267897	-93.30255546	1.189e+00
158000	158000.000	341.815	-94.55982851	0.92784220	-93.63198631	8.595e-01
158500	158500.000	227.014	-94.46311999	0.61622012	-93.84689988	6.446e-01
159000	159000.000	204.185	-94.69063031	0.55425143	-94.13637887	3.551e-01
159500	159500.000	533.782	-94.48716182	1.44892955	-93.03823227	1.453e+00
160000	160000.000	255.678	-94.50786553	0.69402826	-93.81383727	6.776e-01
160500	160500.000	348.399	-94.52956035	0.94571477	-93.58384558	9.076e-01
161000	161000.000	352.275	-94.67041881	0.95623636	-93.71418245	7.773e-01
161500	161500.000	186.839	-94.10235080	0.50716680	-93.59518400	8.963e-01
162000	162000.000	283.801	-94.36003890	0.77036732	-93.58967158	9.018e-01
162500	162500.000	396.817	-94.31844381	1.07714427	-93.24129954	1.250e+00
163000	163000.000	293.426	-94.31249271	0.79649234	-93.51600038	9.755e-01
163500	163500.000	227.007	-94.45961735	0.61620086	-93.84341648	6.480e-01
164000	164000.000	309.756	-94.75240237	0.84081912	-93.91158325	5.799e-01
164500	164500.000	302.585	-94.45580950	0.82135463	-93.63445487	8.570e-01
